hybrid reset particles  hybrid_init  v/=4:
McTwo/CNAE-9.txt  441/856  0.8599649122807019   0.8395061728395061
McTwo/DrivFace.txt  555/6400  0.9670542635658915   0.989010989010989
McTwo/gisette_valid.txt  2414/5000  0.9514285714285714   0.9233333333333333
McTwo/heart.txt  4/13  0.8783625730994153   0.7407407407407407
McTwo/ionosphere.txt  14/34  0.9266666666666667   0.8867924528301887
McTwo/isolet5.txt  222/617  0.831351125938282   0.7927350427350427
McTwo/MUSK1.txt  64/166  0.9008912655971478   0.8531468531468531
McTwo/segmentation.txt  5/19  0.9672264396902077   0.9668109668109668
McTwo/Sonar.txt  19/60  0.903809523809524   0.873015873015873
McTwo/wine.txt  6/13  0.9916666666666666   0.9814814814814815
McTwo/CNAE-9.txt  355/856  0.8585789473684212   0.8240740740740741
McTwo/DrivFace.txt  1472/6400  0.9786821705426357   0.978021978021978
McTwo/gisette_valid.txt  1812/5000  0.9485714285714286   0.9466666666666667
McTwo/heart.txt  6/13  0.8625730994152047   0.7777777777777778
McTwo/ionosphere.txt  6/34  0.9511666666666667   0.839622641509434
McTwo/isolet5.txt  274/617  0.8258048373644705   0.8012820512820513
McTwo/MUSK1.txt  69/166  0.9008912655971478   0.8391608391608392
McTwo/segmentation.txt  9/19  0.9628862817268615   0.9595959595959596
McTwo/Sonar.txt  24/60  0.911904761904762   0.8412698412698413
McTwo/wine.txt  7/13  0.9916666666666668   0.9814814814814815
McTwo/CNAE-9.txt  612/856  0.8584736842105263   0.7962962962962963
McTwo/DrivFace.txt  1054/6400  0.9740863787375416   0.9835164835164835
McTwo/gisette_valid.txt  1809/5000  0.9514285714285714   0.8933333333333333
McTwo/heart.txt  6/13  0.8570175438596491   0.8395061728395061
McTwo/ionosphere.txt  7/34  0.9263333333333332   0.8773584905660378
McTwo/isolet5.txt  212/617  0.8267889908256881   0.782051282051282
McTwo/MUSK1.txt  54/166  0.8897504456327987   0.8251748251748252
McTwo/segmentation.txt  7/19  0.9697032436162871   0.9552669552669553
McTwo/Sonar.txt  27/60  0.910952380952381   0.7936507936507936
McTwo/wine.txt  7/13  0.9916666666666668   0.9444444444444444
McTwo/CNAE-9.txt  333/856  0.8533684210526316   0.8425925925925926
McTwo/DrivFace.txt  2418/6400  0.9858803986710963   0.9175824175824175
McTwo/gisette_valid.txt  1847/5000  0.9457142857142857   0.94
McTwo/heart.txt  5/13  0.8464912280701755   0.8024691358024691
McTwo/ionosphere.txt  5/34  0.9388333333333334   0.8113207547169812
McTwo/isolet5.txt  273/617  0.8332193494578816   0.7799145299145299
McTwo/MUSK1.txt  56/166  0.8920677361853834   0.8951048951048951
McTwo/segmentation.txt  8/19  0.9733992791963807   0.9624819624819625
McTwo/Sonar.txt  23/60  0.9095238095238095   0.8412698412698413
McTwo/wine.txt  6/13  1.0   0.9629629629629629
